responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
754	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Neither agree nor disagree	Weekly	Weekly	Weekly	No	Yes	6-10 members	45 - 54
757	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	70%	I am unsure	Yes	Yes	Yes	Yes	I can't remember	I can't remember	Post-doctoral Fellow	Biology	Not very likely	I don't know	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Agree	Daily	Daily	Weekly	No	No	6-10 members	25 - 34
764	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	PhD Student	Materials Science	Likely	Likely	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Not very likely	Strongly agree	Strongly agree	Weekly	Monthly	Monthly	No	No	1-5 members	25 - 34
766	08/10/2015	08/10/2015	Yes	1	0	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	Yes	No	Professor	Biology	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Weekly	Weekly	Weekly	No	No	11-25 members	45 - 54
767	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	Yes	Professor	Biology	Not at all likely	Not very likely	Very likely	Likely	Not very likely	Not very likely	Likely	Not very likely	Very likely	Very likely	Agree	Agree	Daily	Weekly	Weekly	Yes	Yes	6-10 members	55 - 64
768	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Likely	Agree	Agree	Weekly	Weekly	Monthly	No	Yes	1-5 members	35 - 44
769	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	I am unsure	Yes	Yes	No	No	No	No	Principal Investigator	Biology	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Very likely	Likely	Likely	Disagree	Disagree	Daily	Weekly	Daily	No	Yes	1-5 members	35 - 44
770	08/10/2015	08/10/2015	Yes	1	0	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Associate professor/Lecturer	Biology	Likely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Monthly	Monthly	No	No	1-5 members	25 - 34
772	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Likely	Likely	Neither agree nor disagree	Agree	Weekly	Monthly	Weekly	Not applicable	Yes	11-25 members	25 - 34
773	08/10/2015	08/10/2015	Yes	1	0	0	0	Fairly familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...better than for other scientific fields on average."""	Yes	No	Yes	No	No	No	Professor	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Disagree	Neither agree nor disagree	Weekly	Monthly	Monthly	No	No	11-25 members	45 - 54
774	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology	Very likely	Very likely	Not very likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Strongly agree	Agree	Weekly	Weekly	Weekly	No	Yes	1-5 members	35 - 44
775	08/10/2015	08/10/2015	Yes	0	1	0	0	Somewhat familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Associate professor/Lecturer	Physics	Likely	Not very likely	Likely	Likely	Likely	Very likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Weekly	Quarterly	Daily	Not applicable	Not applicable	1-5 members	35 - 44
776	08/10/2015	08/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Disagree	Weekly	Monthly	Monthly	Not applicable	Yes	6-10 members	35 - 44
777	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	1	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	Student	Biology	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Agree	Agree	Daily	Never	Daily	No	No	More than 50 members	18 - 24
778	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Agree	Agree	Daily	Weekly	Weekly	Not applicable	No	6-10 members	35 - 44
779	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	I can't remember	I can't remember	I can't remember	I can't remember	Professor	Biology	Very likely	Very likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Neither agree nor disagree	Strongly agree	Daily	Daily	Weekly	Not applicable	No	6-10 members	55 - 64
783	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Post-doctoral Fellow	Biology	Not at all likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Not very likely	Neither agree nor disagree	Agree	Weekly	Weekly	Monthly	No	Yes	6-10 members	35 - 44
784	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	PhD Student	Materials Science	Likely	Likely	Not very likely	Not very likely	Likely	I don't know	Likely	Likely	Not very likely	Likely	Disagree	Neither agree nor disagree	Weekly	Monthly	Weekly	Not applicable	No	26-50 members	25 - 34
789	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	I am unsure	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Professor	Chemistry	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Disagree	Agree	Weekly	Monthly	Weekly	Yes	No	1-5 members	65 or over
795	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Medicine	Not very likely	Not very likely	Very likely	Not very likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Strongly agree	Strongly agree	Daily	Monthly	Weekly	No	No	6-10 members	25 - 34
797	08/10/2015	08/10/2015	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	No	No	Yes	No	No	No	PhD Student	Physics	Very likely	Very likely	Likely	Not very likely	Likely	Likely	Very likely	Likely	Likely	Likely	Agree	Strongly agree	Weekly	Monthly	Quarterly	No	No	6-10 members	25 - 34
800	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Agree	Neither agree nor disagree	Daily	Daily	Daily	Yes	Yes	11-25 members	25 - 34
801	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Not very likely	Very likely	Likely	Agree	Agree	Weekly	Quarterly	Quarterly	No	No	11-25 members	25 - 34
804	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	No	No	Professor	Physics	Not very likely	Likely	Likely	Likely	Likely	Very likely	Not very likely	Not very likely	Likely	Likely	Agree	Agree	Daily	Monthly	Monthly	Yes	Yes	6-10 members	65 or over
807	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	No	No	No	Post-doctoral Fellow	Engineering	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Not very likely	Not very likely	Not very likely	Strongly disagree	Strongly disagree	Daily	Weekly	Daily	No	Yes	26-50 members	25 - 34
808	08/10/2015	08/10/2015	Yes	0	0	0	1	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	0%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Principal Investigator	Other	Not very likely	Likely	Very likely	Likely	Likely	Likely	I don't know	I don't know	Likely	Likely	Disagree	Disagree	Monthly	Never	Daily	Not applicable	Not applicable	None	65 or over
809	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Not very likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Daily	Weekly	Weekly	No	Yes	1-5 members	35 - 44
811	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	I am unsure	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Quarterly	Never	Not applicable	No	1-5 members	25 - 34
812	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Associate professor/Lecturer	Biology	Not very likely	Not very likely	Not very likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Monthly	Monthly	No	No	1-5 members	65 or over
813	08/10/2015	08/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	I am unsure	50%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Other	Very likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Likely	Agree	Agree	Monthly	Monthly	Weekly	No	No	1-5 members	25 - 34
817	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	Yes	I can't remember	PhD Student	Other	Very likely	Very likely	Not very likely	Not very likely	Not very likely	Very likely	Very likely	Not very likely	Not very likely	Not at all likely	Strongly agree	Neither agree nor disagree	Weekly	Weekly	Daily	No	No	1-5 members	25 - 34
825	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Agree	Agree	Quarterly	Quarterly	Monthly	No	Not applicable	6-10 members	25 - 34
827	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Not very likely	Likely	Agree	Agree	Daily	Weekly	Weekly	Yes	Yes	6-10 members	25 - 34
830	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Post-doctoral Fellow	Chemistry	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Weekly	Weekly	Monthly	No	No	6-10 members	35 - 44
833	08/10/2015	08/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	I am unsure	No	No	Yes	No	No	Yes	PhD Student	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Daily	Weekly	Weekly	Yes	Yes	1-5 members	25 - 34
834	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	Yes	No	Post-doctoral Fellow	Materials Science	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Daily	Monthly	Weekly	No	No	6-10 members	25 - 34
836	08/10/2015	08/10/2015	Yes	0	1	0	0	Not very familiar	0	1	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	No	No	Yes	No	No	No	PhD Student	Earth and Environmental Science	Likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Monthly	Never	Quarterly	Not applicable	Yes	6-10 members	25 - 34
839	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Associate professor/Lecturer	Other	Very likely	Very likely	I don't know	I don't know	Very likely	Very likely	Very likely	I don't know	I don't know	Very likely	Strongly agree	Strongly agree	Daily	Weekly	Daily	Yes	Yes	1-5 members	35 - 44
841	08/10/2015	08/10/2015	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Likely	Likely	Very likely	Likely	Not very likely	Likely	Likely	Likely	Disagree	Neither agree nor disagree	Daily	Weekly	Weekly	Not applicable	Yes	11-25 members	25 - 34
842	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology	Not very likely	Likely	Very likely	Very likely	Likely	Very likely	Not very likely	Likely	Very likely	Likely	Agree	Agree	Weekly	Monthly	Daily	No	Yes	6-10 members	25 - 34
843	08/10/2015	08/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Physics	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Very likely	Likely	Not very likely	Not very likely	Neither agree nor disagree	Agree	Weekly	Weekly	Monthly	Yes	No	1-5 members	35 - 44
851	08/10/2015	08/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	20%	I am unsure	Yes	Yes	No	No	No	Yes	Principal Investigator	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Likely	Likely	Strongly agree	Strongly agree	Daily	Daily	Daily	No	Yes	6-10 members	45 - 54
